文章類別,文章標題,文章內容,文章來源,日期,文章網址,文字雲,關係圖,文章摘要,統一文章類別,id,category,resource_id,resource
八卦 ( Gossiping ),[問卦]馬郁雯：我敢寫1500萬新聞 我有200%把握,這幾天1500爭議延燒當然現在還在攻防過程 事情並不明朗不過有部分人認為 1500只不過是時間罷了，並不是指金額的部分前幾天記者馬郁雯就親上火線解釋原音：USB裡面有一個神秘帳冊，裡面洋洋灑灑記了一些人的名字金額清清楚楚 就是寫了1500萬的部分當然我的消息來源 我今天敢做這條新聞絕對是因為這個消息我有200%的信賴我非常確定這個1500萬的部分 不是指1500也不是什麼時間點 感覺是有所本的欸這下不是馬郁雯翻車 就是八卦翻車？是不是真的要巴比Q了？--,PTT,2024-09-08,https://www.pttbrain.com/ptt/article/M.1725774512.A.53F,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/7e1d5b75-1bb4-40c3-80b1-70edf83d1863,https://d1pxdrw6gckt4w.cloudfront.net/network/e0d6d61a-21fa-4499-9f5d-06e8e23a4821,記者馬郁雯近日針對1500爭議事件，公開表示她有200%的把握，認為1500萬指的是金額而非時間。她透露USB裡面有一個神秘帳冊，記載了一些人的名字和金額，清楚顯示1500萬的部分。馬郁雯強調她的消息來源非常可靠，因此敢報導這條新聞。這一言論引發了廣泛討論，大家關注這場爭議最終是馬郁雯翻車，還是八卦翻車。,八卦,2,八卦,1,PTT
政黑 ( HatePolitics ),[討論] 黃國昌：執政者在民眾黨內部搞分化,我們的戰神，道德的長城、自由的燈塔、民主的防波堤、正義的北極星、公理的馬奇諾防線、智慧的巴特農神殿、民眾黨不分區立委，黃國昌，在直播上痛批執政者動用國家機器，用超大的棒子打民眾黨，在民眾黨內搞分化，讓大家互相指責，最後越來越小，我們國昌老師說他經歷過，刻骨銘心，他很清楚，最後希望支持者可以相互取暖，相互扶持，沒有阿伯的時間，有國昌老師撐起民眾黨，真的太謝謝國昌老師了。,PTT,2024-09-08,https://www.pttbrain.com/ptt/article/M.1725750325.A.733,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/cd544c96-61ef-4156-a88f-0e9814d55d66,https://d1pxdrw6gckt4w.cloudfront.net/network/040ea8cc-1eef-4174-9df7-fc4202dfad26,黃國昌在直播中痛批執政者動用國家機器，試圖在民眾黨內部搞分化，導致黨內成員互相指責，進而削弱黨的力量。他指稱自己曾經歷過類似情況，因此特別感同身受，並呼籲支持者應相互取暖和扶持。黃國昌強調，即使在沒有阿伯的時候，他也會努力撐起民眾黨，表達了對黨的堅定支持與感謝。,政治,6,政治,1,PTT
八卦 ( Gossiping ),[問卦] 阿北的下場是不是說明了一件事,現在才發現原來公務人員積極任事是愚蠢的最好就是做三不沾 免得萬一站錯隊或風向錯很容易就被人畫靶清算難怪那些公務員總是推拖拉的做事又不會賺錢 避事的話 輕鬆又安全--,PTT,2024-09-08,https://www.pttbrain.com/ptt/article/M.1725759902.A.39A,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/59e752a7-7c04-4b5e-8d31-e166a69aacfd,https://d1pxdrw6gckt4w.cloudfront.net/network/caed378d-8786-40e3-920c-bea344921623,原文討論到公務人員積極任事的風險，認為不如採取三不沾的態度以避免在政治風向或立場錯誤時被清算。因為公務員若積極任事，容易成為目標，反而不如推拖拉、避事來得輕鬆、安全。這解釋了為何許多公務員選擇不積極行動，這樣既不會賺錢但也不會冒險。,八卦,2,八卦,1,PTT
八卦 ( Gossiping ),[問卦] 馬郁雯：我經營檢調七年了 是怎麼經營,  經營檢調一般是要怎麼經營有人有頭緒嗎--,PTT,2024-09-08,https://www.pttbrain.com/ptt/article/M.1725799316.A.EFE,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/c653a824-eefb-4da7-a5dd-c69cb2ef7521,https://d1pxdrw6gckt4w.cloudfront.net/network/12312a3b-60ac-4fc4-9a59-ed26d9330951,馬郁雯表示她已經經營檢調七年，但並未詳細說明具體的經營方法。她提出這個問題是希望有人能提供一些頭緒或經驗分享。然而，文章並沒有進一步解釋或討論檢調經營的具體策略或方法。這讓人對於如何經營檢調產生更多疑問，可能需要更多專業人士的見解來解答。,八卦,2,八卦,1,PTT
八卦 ( Gossiping ),[新聞] 京華城案白營拉都發局背書 李四川打臉：,京華城案白營拉都發局背書 李四川打臉：僅符合程序「沒說合法」2024-09-08 15:56 聯合報／ 記者林麗玉民眾黨主席柯文哲涉及京華城等案遭羈押，民眾黨日前發聲明強調，北市都發局今年1月曾表示，京華城容積率變更合乎「合宜性、公益性、對價性、適法性」，質疑北院裁定。北市副市長李四川今打臉民眾黨的說法，李四川說，當時都發局的新聞稿，是指京華城案程序，是符合都市計畫法程序，但是否適法，還是要看法院怎判定，所以市府沒有說合法。李四川今天下午代表市長蔣萬安為台北市聯合婚禮擔任證婚人，對於京華城案，外界質疑，是否市府都發局今年1月的新聞稿是為京華城背書？李四川今天受訪表示，今年一月都發局的新聞稿只是在說明程序，指京華城該有的公開展覽、該有的都委會，都有依程序辦法，但對於外界爭議的都更容積獎勵等的適法性，市府並沒有說明合法。李四川說，都發局當時發的新聞稿是針對監察院的澄清函，原則上是說明北市府查看所有的過程，它是符合都市計畫法的程序，但是否適法，還是要看法院怎麼判定，所以市府沒有說合法，它是符合程序，該有的公開展覽、該有的都委會，都有依照程序辦法。,PTT,2024-09-08,https://www.pttbrain.com/ptt/article/M.1725784822.A.4D4,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/4d37ad13-35ed-4a0e-a3aa-2bc1d4bc93a0,https://d1pxdrw6gckt4w.cloudfront.net/network/c69b338b-cde2-4ed0-8cc3-8557ef48cdaf,台北市副市長李四川針對民眾黨聲稱都發局支持京華城案的說法予以反駁。他表示，都發局在今年1月的新聞稿只是說明京華城案的程序符合都市計畫法，但並未表示該案合法。李四川強調，新聞稿是針對監察院的澄清函，僅說明市府查看過程中程序的合規性，是否適法仍需等待法院判定。因此，市府並未為京華城案背書，而只是確認程序上的合規。李四川重申，京華城的公開展覽和都市計畫委員會的程序都依規定辦理，但適法性問題仍待法院裁定。,八卦,2,八卦,1,PTT
八卦 ( Gossiping ),[新聞] 小草大集結挺柯P！濟南路人潮炸裂 現場,中時新聞網 王柏文小草大集結挺柯P！濟南路人潮炸裂 現場空拍畫面太震撼,PTT,2024-09-08,https://www.pttbrain.com/ptt/article/M.1725792760.A.3BA,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/a516158f-aaf2-4566-9b94-b01df6577e32,https://d1pxdrw6gckt4w.cloudfront.net/network/745a413e-2c34-4f9e-8f5f-df0cbcc32b66,中時新聞網報導，柯文哲支持者在濟南路舉行大型集會，場面十分壯觀。現場人潮擠滿了整條街道，熱情的支持者們揮舞著旗幟和標語，空拍畫面顯示出集會的盛況，場面震撼。這次活動被稱為“小草大集結”，顯示出柯文哲在民眾中的強大支持力量，為其政治活動增添了不少聲勢。,八卦,2,八卦,1,PTT
八卦 ( Gossiping ),[新聞] 柯4千萬商辦契約上僅「61萬」　地政士：,備註請放最後面 違者新聞文章刪除1.媒體來源:TVBS2.記者署名:葉豐瑋3.完整新聞標題:柯4千萬商辦契約上僅「61萬」　地政士：課稅用4.完整新聞內文:民眾黨主席柯文哲在今年5月使用選舉補助款添購個人的商辦，被台北市議員鍾小平質疑背後可能跟京華城有關係。昨天(6)民眾黨就提供「所有權買賣移轉契約書」澄清，不過契約書上的「買賣價款總金額」項目中卻只填寫「61萬元」。時常經手過戶作業的地政士就說，像民眾黨所提出的這份契約書，叫作「公契」，通常只會拿來「課稅用」，與實際價格往往差距很大！記者葉豐瑋：「民眾黨主席柯文哲在今年五月的時候，用了選舉補助款，在台北買了4300萬的個人商辦，卻被議員質疑背後跟京華城有關係，於是6日的時候，民眾黨他們也出示所有權的買賣轉移契約書想要自清，卻被發現上面的價格也有問題。」因為就在這張移轉契約書的最上方，原先傳出要價4300萬的商辦，買賣價款總金額卻只剩下61萬，不是要說清楚嗎，怎麼跟實際價格差距這麼大，事後民眾黨回應，該文件屬於「契約書」的其中一份，因此只呈現部分權狀買賣金額，但真的是這樣嗎？地政士鄭文在：「過戶移轉的時候我們就是有買賣價，但是我不可能用買賣價去申報契稅，(課徵)6%嚇死人了光契稅就繳不完，所以我們都會去調這個(土地公告現值)，跟實際上的房價落差是蠻大的。」實在差距很大，因為不動產買賣，通常會打兩種契約，讓買賣雙方留存的，俗稱「私契」，載明買賣金額與雙方權利跟實際付款方式，而另一種則叫「公契」，上頭只會記錄土地公告現值與過戶轉移登記，通常只用來課徵契稅用，讓客戶不用繳太多，民眾黨這回公布的就是它。地政士鄭文在：「我覺得是很奇怪啦，其實公契對我們來講用途不大，因為今天大家質疑的是4300萬，而不是移轉現值的60幾萬，通常會拿出私契金流，甚至匯款單或者履約保證卡都可以揭露。」想要澄清卻反而衍生更多問題，藍營議員也呼籲乾脆拿出匯款記錄以昭公信。國民黨台北市議員鍾小平：「私約你到底多少錢買的，你為什麼不拿出來？」民眾黨團主任陳智菡：「因為現在存摺都已經被檢調查扣了，當她(陳佩琪)申請拿到之後，就可以清楚地把相關的金流跟外界做交代。」無奈所有證據，都被檢方拿去商辦的真相，依舊撲朔迷離。5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:,PTT,2024-09-08,https://www.pttbrain.com/ptt/article/M.1725763778.A.0AE,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/9890a54b-ab37-4ef1-85bb-e905512a1f81,https://d1pxdrw6gckt4w.cloudfront.net/network/b0161767-0a4d-4fd7-ad59-e77cad2e5b29,民眾黨主席柯文哲使用選舉補助款購入的4300萬商辦，被台北市議員質疑與京華城有關。為澄清，民眾黨提供了「所有權買賣移轉契約書」，但上面的買賣價款僅填寫61萬。地政士表示，這是「公契」，通常用於課稅，與實際價格有很大差距。公契僅記錄土地公告現值，而「私契」才載明實際買賣金額。藍營議員呼籲公開匯款記錄，但民眾黨稱相關證據已被檢調扣押，需待取回後才能澄清。此舉反而引發更多質疑，商辦真相仍未明。,八卦,2,八卦,1,PTT
政黑 ( HatePolitics ),[討論] 陳佩琪：柯文哲因在大便才沒讓檢調進門,柯文哲因京華城容積暴增案被羈押禁見民眾黨則號召群眾到立法院前集結抗議前陣子被爆去看上億豪宅的妻子陳佩琪註：陳佩琪去看的豪宅就在集合現場附近也在剛剛上台並發表談話陳佩琪強調柯文哲生活簡單、勤於市政難道會是圖利貪污的人嗎？陳佩琪又說之前看到柯文哲的案子被討論導致她憂鬱症發作但柯文哲跟她說都尊重專業交給專案經理人所以陳佩琪表示她要幫忙討公道還忿恨地說去ATM存款怎被誤會是貪污金流陳佩琪接著又說檢調搜索他們家的那一天之所以有一個小時沒有開門讓檢調進門是因為她人在外面而回家後發現柯文哲在廁所上大號、洗澡可能是因為手機轉靜音所以沒聽到有人打來陳佩琪不滿因為柯文哲在大便沒去應門怎麼就被認為是有滅證的嫌疑來源： PunkGrass: 檢調該動手抓PG了吧XDDD滿口胡言        36.229.113.186 09/08 20:49→ brella: 可能在擬稿我的糞鬥史                      118.171.129.5 09/08 20:53,PTT,2024-09-08,https://www.pttbrain.com/ptt/article/M.1725799564.A.865,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/9953ed96-eda3-4006-adf2-4a0b210efba9,https://d1pxdrw6gckt4w.cloudfront.net/network/f8c5a0bb-f725-4b33-a114-53d7c2f20004,陳佩琪因為柯文哲被羈押禁見而出面抗議，強調丈夫生活簡單、勤於市政，不可能圖利貪污。她表示，看到柯文哲的案子被討論導致自己憂鬱症發作，但柯文哲讓她尊重專業，交給專案經理人處理。陳佩琪強調要幫柯文哲討公道，並憤怒地解釋，去ATM存款被誤認為貪污金流是不合理的。她還提到，檢調搜索當天之所以一小時沒開門，是因為她人在外面，而柯文哲在廁所上大號、洗澡，手機靜音沒聽到電話，因此沒有應門，並非有滅證嫌疑。這些言論引發網友熱議與調侃。,政治,6,政治,1,PTT
八卦 ( Gossiping ),[問卦] 檢調單位裡面有媒體安插的內鬼！, 附上連結 好可怕,PTT,2024-09-08,https://www.pttbrain.com/ptt/article/M.1725793364.A.68F,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/c1c722d6-c4c2-4bcf-b271-efb8c50bf5a3,https://d1pxdrw6gckt4w.cloudfront.net/network/6de06cd0-6b0c-4ecd-ae98-b33518ee78a4,檢調單位裡面可能存在媒體安插的內鬼，這讓人感到非常恐怖。文章討論了檢調單位中是否有內部人員與媒體勾結，洩露調查資訊給媒體。這樣的情況如果屬實，將對整個司法調查程序造成嚴重影響，引發公眾對司法公正性的質疑。文章中附上了一個連結，可能提供更多相關的資訊和證據。這個話題在網上引起了廣泛討論，大家對檢調單位的內部管理和媒體的行為表示擔憂。,八卦,2,八卦,1,PTT
八卦 ( Gossiping ),[問卦] 相由心生是真的？,相由心生指人的內在會影響外在這是真的還假的啊？有什麼科學根據嗎卦？,PTT,2024-09-08,https://www.pttbrain.com/ptt/article/M.1725797794.A.28F,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/ba26d08b-89bb-46f9-9668-9f5ff9da9611,https://d1pxdrw6gckt4w.cloudfront.net/network/4ab94f0c-3e05-4575-a92a-7d22f2e2a2c0,相由心生這一說法是指人的內在情感和性格會影響其外在容貌。這個觀點是否真實以及有沒有科學根據成為討論的焦點。雖然許多人相信內在心境能夠在外貌上有所體現，但目前科學界對此還沒有確切的結論。一些研究指出，情緒和心理狀態確實能影響面部表情和肌肉張力，從而改變一個人的外在形象。然而，這些改變是否能夠長期固定下來，尚缺乏足夠的證據支持。討論中，大家對這一問題的看法不一，有些人認為內心的善良和積極心態能夠使人看起來更有魅力，而另一些人則持懷疑態度，認為外貌更多受到遺傳和環境因素的影響。,八卦,2,八卦,1,PTT
