文章類別編號,文章類別,文章標題,文章內容,文章來源編號,日期,文章網址,文字雲,關係圖,文章摘要
2,八卦 ( Gossiping ),[新聞] 羈押攻防範圍確定了！保障柯文哲防禦權,媒體聯合報／ 記者林孟潔、王聖藜羈押攻防範圍確定了！保障柯文哲防禦權 檢察官今天不能提出新事證京華城容積率弊案持續延燒，台北市前市長柯文哲被檢方依貪汙治罪條例圖利、違背職務收賄罪偵辦，並聲押禁見，柯原獲法院裁定無保請回，但檢方抗告成功，台灣高等法院認為柯「積極介入京華城案」，撤銷原裁定發回更裁；據悉，台北地方法院今上午9點半程序庭時，法官向雙方說明，為保障柯文哲的防禦權，檢察官不得於發回更裁程序提出新事證。法官今上午程序庭時，已向檢辯雙方說明，法院應公平對待檢察官、被告及辯護人，檢察官既然限制辯護人閱卷，為保障被告憲法上的防禦權，檢察官不得於「發回更裁程序」提出新事證，以免造成突襲，而導致被告及辯護人來不及防禦，即使檢察官提出新事證，法院也不予審酌。據了解，檢辯雙方對於法官的說明沒有表示反對意見，而法官所述僅限於「發回更裁程序」，至於檢方抗告至高院補充的事證，仍在審酌審查範圍內。台北地檢署面對第二次羈押庭有「輸不得」的壓力，今天由主任檢察官江貞諭、檢察官林俊言、郭建鈺上場；柯文哲律師團則由鄭深元、陸正義、蕭奕弘出庭力拚讓柯文哲免於羈押。台北地檢署指揮廉政署偵辦京華城案數月，上周發動大規模搜索，依行收賄罪聲押威京集團主席沈慶京、台北市議員應曉薇及助理吳順民獲准，再搜索傳喚柯文哲、當年兼任都委會主委的北市前副市長彭振聲到案，訊後依涉犯圖利、違背職務收賄罪聲押兩人。北院認為柯文哲不是北市都市計畫委員會與會人員，無法直接知悉開會情形，自身無相關專業，檢察官所提事證還有其他合理解釋空間，犯罪嫌疑不重大，本月2日裁定柯文哲無保請回。北檢補強資料後，本月3日提起抗告，高院指出，依彭振聲、威京集團子公司鼎越前董事長朱亞虎、時任都發局總工程司的都委會前執行秘書邵琇珮等人的證述，及朱亞虎與應曉薇對話紀錄、柯文哲被扣的隨身物品記載內容，再參酌朱亞虎受雇沈慶京的目的、沈慶京行賄應曉薇犯罪嫌疑重大等。高院認為，根據上述卷證資料、柯文哲積極介入京華城案等客觀情狀，柯文哲是否對京華城案毫無知悉、未曾懷疑？又是否如他自己主張「相信具專業性且為多數決之都委會決議？還有究明的必要，昨天撤銷「無保請回」裁定，發回北院更裁。,1,2024-09-05,https://www.pttbrain.com/ptt/article/M.1725513570.A.18B,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/5a3cf906-3111-43de-bf30-6525161f5bcc,https://d1pxdrw6gckt4w.cloudfront.net/network/6cbb7a7e-1a5d-4a3d-927b-d5ee05039b13,台北市前市長柯文哲因京華城案件被檢方依貪污治罪條例偵辦，並聲押禁見。原本獲法院裁定無保請回，但檢方抗告成功，高等法院認為柯積極介入京華城案，撤銷原裁定發回更裁。為保障柯的防禦權，法官向檢辯雙方說明，檢察官不得在發回更裁程序提出新事證，以免造成突襲，並強調公平對待檢察官、被告及辯護人。北院原裁定認為柯犯罪嫌疑不重大，但檢方補強資料後提出抗告，高院根據多項證據資料指出柯的積極介入，認為案件仍需進一步究明，因此撤銷無保請回裁定，發回北院重新裁定。
6,政黑 ( HatePolitics ),[討論] 原來跳樓小草是民眾黨議員叫他去死的？, 影片 隔天9/2就真的不要命跳樓了所以看起來是民眾黨議員直接叫小草去死的？四叉貓還莫名背鍋--原文連結,1,2024-09-05,https://www.pttbrain.com/ptt/article/M.1725507922.A.EAE,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/92655004-b73e-4b4e-858e-9583a7475c84,https://d1pxdrw6gckt4w.cloudfront.net/network/ae5d282b-47b5-4d9a-988b-98701c5d4226,一段影片顯示，有民眾黨議員疑似叫小草去死，結果小草隔天9月2日真的跳樓。這件事引起了廣泛的討論，許多人認為是該議員直接導致了小草的行為。四叉貓也無故被牽連進此事件，成為背鍋對象。這一連串的事件讓網友們議論紛紛，對議員的言行和責任進行了激烈的討論。
6,政黑 ( HatePolitics ),[轉錄] 台衛口罩FB,1.轉錄網址︰ KP 口罩以後，你們能相信嗎？一個小工廠一年可以來十幾次勞動檢查衛生檢查項目檢查！ 我們老闆的態度很堅定，一定 33、KP，如此而已，但是如果有國民黨跟民進黨選舉員要做口罩我們也不會拒絕，而且會盡心盡力做，這就民間企業的態度。,1,2024-09-05,https://www.pttbrain.com/ptt/article/M.1725509568.A.C44,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/b69989a1-2f00-40c2-817f-cc73ebcbb542,https://d1pxdrw6gckt4w.cloudfront.net/network/126fc613-126e-4f50-b6d2-0a57334ae6c5,台衛口罩在其Facebook上發表了一篇文章，表示他們雖然是一個小工廠，但每年要接受十幾次的勞動檢查和衛生檢查。儘管如此，公司的態度依然堅定，會全力以赴生產口罩，無論是國民黨還是民進黨的選舉員需要口罩，他們都不會拒絕，並且會盡心盡力地製作，這展現了民間企業的態度。
2,八卦 ( Gossiping ),[新聞] 羈押3理由曝！圖利沈慶京逾200億,備註請放最後面 違者新聞文章刪除1.媒體來源:ETtoday2.記者署名:黃哲民3.完整新聞標題:快訊／羈押3理由曝！圖利沈慶京逾200億　法官認柯文哲：執意為之4.完整新聞內文:民眾黨主席柯文哲案因任台北市長期間的京華城案，遭檢廉搜索約談並聲押，台北地方法院2日凌晨裁定其無保請回。北檢不服抗告成功，北院於5日下午2時正式開庭，並於下午4時30分結束，法院於下午5時08分宣示裁定「羈押禁見」，三項羈押理由曝光。北院指出，柯文哲經訊問後，不爭執聲請書所指部分事實，並有被告、共犯、證人之陳述、相關卷證資料等足稽。柯文哲明知增加過高、超過560%的容積給京華城一案違背法令，竟仍執意為之，貫徹意志，迥然若揭，並因此致使共犯沈慶京的京華城一案，獲不法利益200億餘元。則被告涉犯貪污治罪條例第6條第1項第4款之圖利罪之犯罪嫌疑重大。北院說明，本件就目前聲請書所述內容及偵查檢察官掌握的案情，雖形式上已符合貪污治罪條例第6條圖利罪的要件。但柯文哲所為，究僅係柯文哲單純圖利京華城共犯沈慶京、抑或與共犯沈慶京期約甚至收受違背職務賄賂，仍有待偵查檢察官依調查所獲之具體證據查明。偵查是一浮動狀態，隨證據及資料獲得逐漸形成具體之犯罪輪廓，甚至轉成賄賂罪重刑，則被告為避免受到重刑，縱暫時坦承部分事實，仍有可能於將來避重就輕、翻異前詞，甚且勾串共犯或證人；況被告所述，仍與已為本院羈押之共犯沈慶京、應曉薇、彭振聲等所述不一。為保障被告將來反對詰問權及證人證言之貞潔，且被告目前所涉犯最重之貪污治罪條例第6條圖利罪部分，最輕本刑為5年以上有期徒刑，確有事實足認被告有因犯重罪而有滅證及勾串共犯或證人之虞。北院考量，柯文哲權益保障及公共利益維護之動態平衡，並審酌憲法上比例原則，尤其刑事訴訟法對勾串共犯或證人並無有效預防規定，亦無法如刑事訴訟法第118條規定以僅能於被告逃匿時沒入保證金之具保擔保之；為保全證據，且經衡量後，因本案為貪污犯行，造成共犯沈慶京在京華城一案即獲有200餘億元之不法利益，影響社會層面深遠，應偏向公共利益維護，故認確無法以具保、責付、限制住居替代，而有羈押必要，爰依刑事訴訟法第101條第1項第2款、第3款及第105條第3項規定，羈押被告於臺北看守所，並禁止接見、通信5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:,1,2024-09-05,https://www.pttbrain.com/ptt/article/M.1725529967.A.822,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/c5cc8387-7cab-4a03-b92a-2c78634c2a64,https://d1pxdrw6gckt4w.cloudfront.net/network/3f49a7b8-345b-4dbe-a069-717f10e3a0cc,前台北市長柯文哲因京華城案涉嫌圖利共犯沈慶京超過200億元，被台北地方法院裁定羈押禁見。法院指出，柯文哲明知增加過高容積違法，卻仍執意為之，涉嫌貪污治罪條例圖利罪。法官認為，雖然目前證據顯示柯文哲涉案，但具體的犯罪事實仍需進一步調查，且柯文哲可能會翻供或勾串共犯，故有羈押必要。法院強調，因貪污案影響深遠，無法以具保或限制住居替代羈押，故決定將柯文哲羈押於台北看守所並禁止接見通信。
2,八卦 ( Gossiping ),[新聞] 曝蔣萬安早幫柯背書沒圖利！黃國昌秀蔣,1.新聞網址︰ 張大任3.完整新聞標題曝蔣萬安早幫柯背書沒圖利！黃國昌秀蔣市府聲明「京華城20%容積獎勵合法」4.完整新聞內容︰2024-09-04 21:00民眾黨立委黃國昌（左）指出，現任台北市長蔣萬安的北市都發局在今年1月就曾發聲明，表示京華城案符合法定程序。（取自Youtube CNEWS匯流新聞網）民眾黨主席柯文哲身陷京華城案，其中關鍵在於柯市府當年額外批准京華城20%容積獎勵，引發圖利質疑。對此，民眾黨立委黃國昌在節目《中午來開匯》指出，現任台北市長蔣萬安在今年1月時，北市都發局就曾對京華城案做出表態，直言柯市府的處理「均符合都市計畫法定程序」，意指蔣市府當時就認為柯文哲並無不法。黃國昌表示，京華城容積率能從560%變成840%，是因為柯市府當時批准的50%容積獎勵，而這其中的30%是由京華城方面花錢買下，因此沒有圖利問題，剩下20%則是因為該案滿足市府的建設等要求而額外給予。黃國昌解釋，這剩下的20%是否有圖利，才是全案的關鍵，而監察院在今年針對京華城案提出糾正報告，認定這20%容積獎勵有問題，所以社會就以這份報告當基準，去斷定風向。但是，黃國昌強調，現在的台北市長蔣萬安曾為此在市府內重新開會，他們做出的結論是，「柯市府當時批准的這20%沒有問題」。黃國昌指出，現任的蔣市府為了對監察院的糾正報告作出回應，北市都發局在今年1月24日就針對京華城案表示，「經本市都委會審議確認，均符合都市計畫法定程序。」意指蔣市府當時就認為，柯文哲在京華城案的處理上並無不法。台北市政府都市發展局新聞稿：監察院提出市府核定京華城購物中心原址細部計畫修訂案，不當參採「都市更新建築容積獎勵辦法」創設所謂「韌性城市貢獻」等三項獎勵項目，據以核給20％容積獎勵糾正案，本細部計畫案係由京華城依都市計畫法第24條規定提出申請修訂，其變更計畫內容之合宜性、公益性、對價性、適法性等，經本市都委會討論及審議確認，均符都市計畫法令程序。針對監察院提出糾正意見，市府都發局將進行檢討。至通案審議原則部分，亦將配合與本市都委會研訂依都市計畫法第24條申請案件相關審議原則，以利作為未來審查依據。黃國昌直言，連在蔣萬安領導下的新台北市都發局，經過審議後都發出了符合程序的聲明，但柯文哲還是在一陣莫名其妙的追殺跟帶風向之下，被現在所有的媒體跟公共討論毫不思索的認為，柯文哲是違法圖利。黃國昌也說，有議員稱他在3、4年前就曾經質詢過柯文哲關於京華城容積率的問題，柯如今怎麼能說「不知道」，但黃國昌則表示，柯文哲說的「不知道」，指的是他尊重專業，沒有去介入程序、多做過問，將案子交由都委會去討論，如今卻被帶風向成完全不一樣的說法。,1,2024-09-05,https://www.pttbrain.com/ptt/article/M.1725495571.A.65D,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/295e39cd-dc99-41a6-993c-557901db0767,https://d1pxdrw6gckt4w.cloudfront.net/network/24745800-1f0f-4836-8114-be7b64088f7b,民眾黨立委黃國昌指出，現任台北市長蔣萬安的市府在今年1月就曾發聲明表示，京華城案符合法定程序，認為柯文哲並無圖利問題。黃國昌解釋，京華城容積率增加至840%是因市府批准的50%容積獎勵，其中30%由京華城花錢買下，剩下20%是因滿足市府建設要求而額外給予。監察院認定這20%有問題，但蔣萬安市府重新審議後認為無違法情事。黃國昌強調，蔣市府的聲明已確認柯市府的處理程序合規，反對社會對柯文哲的不實指控。
2,八卦 ( Gossiping ),[問卦] 覺青：如果真的獨裁你嘴砲怎沒被抓走？,如題小弟有個覺青朋友最近看他說那些說台灣獨裁的根本自打臉如果真的是獨裁那你在網路上打嘴砲怎麼沒把你抓走？你能在那邊嘴砲  剛好證明不是獨裁覺青朋友這樣講合理嗎有無八卦--原文連結,1,2024-09-05,https://www.pttbrain.com/ptt/article/M.1725512879.A.B2F,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/31042a42-f06a-47b0-88e7-225ed97b396a,https://d1pxdrw6gckt4w.cloudfront.net/network/6a7441f1-ca05-4985-b595-6de3d4ba01d9,小弟的覺青朋友認為，那些聲稱台灣獨裁的人其實是在自打臉。朋友表示，如果台灣真的是獨裁政權，那麼那些在網路上公開發表反對言論的人早就應該被抓走了。能夠自由在網上發表意見，正好證明台灣不是獨裁。這個觀點引發了討論，大家對覺青朋友的說法是否合理感到疑惑，有人提出八卦來進一步探討。
2,八卦 ( Gossiping ),[問卦] 所以京華城確定違法嗎？,我無知小草卡提諾法學院畢業啦最近聽說一直在吵圖利罪圖利要件之一是違法先不管是明知裝傻還是我不知道京華城容積率確定違法了嗎？如果沒有確定違法那要怎麼算圖利？-----Sent from JPTT on my Realme RMX3370.--原文連結,1,2024-09-05,https://www.pttbrain.com/ptt/article/M.1725518284.A.6E9,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/22fa6ad2-d096-4964-a29b-4cf56ac2d0c2,https://d1pxdrw6gckt4w.cloudfront.net/network/5908e4b3-7249-41e3-baa8-c9c67dddd0b1,作者畢業於卡提諾法學院，近期聽說社會上一直在討論圖利罪，其中一個要件是違法。無論是裝傻還是確實不知，作者對於京華城的容積率是否違法存有疑問。如果京華城的容積率尚未確定違法，那麼如何能算作圖利罪呢？這個問題引發了作者的好奇與討論。
4,股票 ( Stock ),[閒聊] 2024/09/05 盤中閒聊,"==================113/09/05台股資訊重點整理，供股民做投資參考=================台　股　台指09　盤後09　21236   　▲ 296    (+1.35%)　 89,883口台指期未平倉口數 自營商 +1203 (+1017) 投信 +22426 (-1653) 外資 -30917 (+6,228)台指選未平倉口數 自營商 +1,019 (-15,610) 投信 -46 (+150) 外資 -17,466 (-4,734)道瓊工業　40974.97　▲ 38.04 (+0.09%)那斯達克　標普 500　 費城半導 　4770.85　▲ 11.85 (+0.25%)==============================================================================資料來源：臺灣證券交易所、中央社--齊來坐過山車，好不爽快捏 (？)-- (@FilthyAlanAnima)--我們的一生會遭遇各種各樣的意外，有的意外，只會讓你變得頹廢，一蹶不振；有的意外則會讓你找到另一個自己，重獲新生。……你要知道你是誰，你的拋棄和擁有，都是你自己的選擇，患得患失只會讓你身陷囹圄。　　　　　　　　　　　　　　　　　　　　——孫衍《願你出走半生，歸來仍是少年》--原文連結",1,2024-09-05,https://www.pttbrain.com/ptt/article/M.1725496202.A.AC0,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/57573a57-f6a5-4aea-b81f-786d2cc1e1d9,https://d1pxdrw6gckt4w.cloudfront.net/network/e1e77848-4d50-4b16-bd43-b75c3a12d268,"113年9月5日的台股資訊顯示，台指09在盤後上漲了296點，達到21236點，增幅1.35%。成交量為89,883口。台指期未平倉口數中，自營商增加了1203口，投信增加了22426口，外資減少了30917口。台指選未平倉口數中，自營商增加了1019口，投信減少了46口，外資減少了17466口。美股方面，道瓊工業指數小幅上漲38.04點，納斯達克指數和標普500指數也有所上漲，費城半導體指數上升11.85點。這些數據提供了股民參考，顯示出市場的波動性和不同投資者的動向。文章最後引用了孫衍的名言，提醒讀者在人生的起伏中找到自己的定位。"
2,八卦 ( Gossiping ),[爆卦] 羈押禁見,確認了確定羈押禁見司法活了又死了柯黑大勝利小草旁邊哭笑死果然剛剛開車道是要接他掰屁眼囉8888888--原文連結,1,2024-09-05,https://www.pttbrain.com/ptt/article/M.1725527849.A.7E6,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/3fa49dc7-6d3a-4f6d-b852-f16683620289,https://d1pxdrw6gckt4w.cloudfront.net/network/f462942a-09b4-406f-890c-7f99ea5c37ec,確定羈押禁見的消息獲得確認，這對於支持柯黑的一方來說是重大勝利。文章中提到有人情緒激動，甚至開車道要接對方離開。這一結果引發了強烈反應，有人哭笑不得，甚至使用粗俗語言表達情緒。整個事件讓人感受到司法程序的進展以及各方的激烈反應。
2,八卦 ( Gossiping ),[新聞] 控「雞湯沒喝完」留給下一桌！燒肉店：會,控「雞湯沒喝完」留給下一桌！燒肉店：會加熱後回補 宋佳娟 / 攝影 哀招賢 徐克誠 報導高雄一間燒肉店，被民眾指控，「」，懷疑還有隔夜湯！而店家出面澄清，湯壺都是密封的，如果湯有剩，會直接回填，坦承不會換新的，而高雄市衛生局獲報也到場稽查。厚切牛舌烤到表面焦脆，熱油滋滋所響，肉汁四溢，日系燒肉店不只能大口吃肉，還有熱呼呼雞湯能無限續，很受歡迎。記者宋佳娟：「來吃燒肉店，其實現在都會提供這種湯壺，裡頭裝雞湯，不過現在網路有民眾說，這個湯壺疑似還留給下一位客人使用。」民眾在社群平台直指高雄一家燒肉店，「上一桌客人雞湯沒喝完會繼續給下一桌，還可能有隔夜的」，就怕有人有傳染病或吐口水，衛生局接獲申訴，4日也派人員到場稽查，從用餐環境到內場廚房全面巡視，而被指控的燒肉店出面闢謠，不可能用隔夜湯。當事燒肉店長林士翔：「到了每一個餐期結束之後，我們所有的湯都是結束就倒掉，這種東西一旦放隔夜或是23小時，味道就會變得酸掉，我們的雞湯壺它是密封的，衛生上面是完全沒有問題，這個雞湯一定會剩一些些，我們會倒出來做檢查，檢查沒有問題會拿去加熱，加熱後會重新回填。」店家說，中午和晚餐就是用不同批的湯了，但也坦承餐期忙碌時，雞湯如果有剩，湯壺確實不會換新的，而是直接回補加熱再給下一組使用，店家也反控po文者沒在店內消費，其實民眾也是自述是「朋友在那邊打工分享的」，店家決定採取法律行動。當事燒肉店長林士翔：「因為我們最近是蠻多員工曠職，比較不適任我們有資遣，有可能是，是懷疑啦。」對於食安衛生局不敢輕忽，帶上帽套稽查廚房環境，畢竟中秋要到了，燒肉店幾乎一位難求，如今又捲入食安爭議，就怕生意受打擊。--矮額  還會把剩下雞湯加熱再給下一組...--原文連結,1,2024-09-05,https://www.pttbrain.com/ptt/article/M.1725494817.A.44B,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/5ac7218d-33d9-48ce-9436-c5660af54716,https://d1pxdrw6gckt4w.cloudfront.net/network/c396f856-bbcf-4941-bf59-7cf2ffb2468a,高雄一間燒肉店被指控將上一桌客人未喝完的雞湯加熱後回填給下一桌，引發食安爭議。店家澄清，湯壺密封且在每個餐期結束後會倒掉剩湯，不會使用隔夜湯，但承認餐期忙碌時會將剩湯加熱後回補。高雄市衛生局接獲申訴後進行稽查，確認店家衛生狀況。店家反控爆料者未在店內消費，稱其資訊來自朋友打工經驗，並決定採取法律行動。由於中秋節將至，燒肉店生意火熱，此次食安爭議可能對其生意造成影響。
