文章類別,文章標題,文章內容,文章來源,日期,文章網址,文字雲,關係圖,文章摘要
八卦 ( Gossiping ),[新聞] 北檢急找柯文哲不明金流　力邀「金流高,備註請放最後面 違者新聞文章刪除1.媒體來源:中天新聞2.記者署名: 倪鴻祥3.完整新聞標題:北檢急找柯文哲不明金流　力邀「金流高手」加入檢廉團隊4.完整新聞內文:檢廉團隊偵辦前台北市長、民眾黨主席柯文哲圖利京華城弊案，正忙著深入追查柯文哲的不明帳目是否涉及收賄，據了解，為找出不明金流，偵辦團隊特別找了曾辦ACE王牌交易所虛幣詐騙案的「金流高手」台北地檢署檢察官陳玟瑾加入，以期在兩週內儘速清查出所有相關帳目。陳玟瑾是政大經濟、法律雙主修畢業、司法官訓練所五十四期結業，曾到泰國精進洗錢防制知能。陳玟瑾曾於去年偵辦ACE王牌交易所虛擬貨幣詐銷案，在複雜金流中，追出詐欺團體利用虛擬貨幣洗錢逾十億元，起訴名律師王晨桓等138人，還獲時任行政院長的陳建仁親自嘉勉。由於陳玟瑾外文能力佳，又具備「經濟」專業，對數字有極高敏銳度，是檢察官體系內少見的專才，因此被北檢視為偵辦「經濟犯罪」的王牌之一。這次北檢「天下第一組」忠組採取團隊合作模式，偵辦柯文哲涉入五大弊案，數月前開始向監察院、北市府等單位調取資料，並指揮廉政署約談北市府官員、原都市計畫委員等人作證，最終將柯依涉圖利等罪聲押獲准。法院裁定直指，柯文哲「明知」增加過高、超過560%的容積給京華城是違背法令，「仍執意為之」，涉犯貪污治罪條例的圖利罪，犯罪嫌疑重大，因確有不明來源金流分別匯入柯的妻、兒帳戶，究竟是否違背職務收受賄賂，仍需檢方查明。柯文哲太太陳佩琪日前受訪表示，她自2014年變成名人後，就不喜歡去櫃台存款，喜歡用ATM小額理財，這樣比較沒有壓力，希望檢調不要把自己去ATM的動作與柯文哲的市政連結在一起，而陳玟瑾加入偵辦團隊，正好能徹查、釐清不明金流的來龍去脈。5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:,PTT,2024-09-09,https://www.pttbrain.com/ptt/article/M.1725847021.A.E57,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/bb2e7a36-cfb8-4fd8-94c4-3a2e66a04f1e,https://d1pxdrw6gckt4w.cloudfront.net/network/da34a53c-3562-4cc3-94c9-a27ade1a3649,北檢正在調查前台北市長柯文哲涉及京華城弊案的不明金流，並邀請曾辦理ACE王牌交易所虛幣詐騙案的「金流高手」陳玟瑾檢察官加入檢廉團隊。陳玟瑾具經濟和法律雙專業背景，對數字高度敏銳，曾成功追查虛擬貨幣洗錢案，獲得行政院長嘉勉。北檢團隊採取合作模式，已調取相關資料並約談相關人員作證，最終將柯依涉圖利等罪聲押獲准。法院指出柯文哲違背法令，增加京華城容積，涉犯貪污治罪條例的圖利罪，且有不明金流進入其家人帳戶。柯文哲妻子陳佩琪表示，她不喜歡去櫃台存款，喜歡用ATM小額理財，希望檢調不要將她的行為與柯文哲的市政連結。陳玟瑾的加入有助於釐清不明金流的真相。
八卦 ( Gossiping ),[新聞] 快訊／柯文哲羈押禁見！律師證實「不提抗,ETTODAY快訊／柯文哲羈押禁見！律師證實「不提抗告」：柯不願為難法院記者黃哲民、莊智勝／台北報導民眾黨主席柯文哲身陷京華城容積率弊案，檢方二度聲押結果逆轉，北院5日認定柯有串證之虞，裁定羈押禁見2個月。今(9日)柯文哲委任律師證實，原本有意提出抗告尋求救濟，惟柯文哲於庭前已明白表示，「不願讓法院有所為難，如遭羈押，不願抗告」，經律師律見再次確認後，柯文哲仍表示不願提起抗告，基於尊重當事人意願，因此不再抗告。,PTT,2024-09-09,https://www.pttbrain.com/ptt/article/M.1725854238.A.67C,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/52d225ec-ce4e-4c81-b143-2ae22b66bfd3,https://d1pxdrw6gckt4w.cloudfront.net/network/4779cebc-e80f-49af-b679-7b235891955a,民眾黨主席柯文哲因京華城容積率弊案被檢方二度聲押後，北院於5日裁定他有串證之虞，決定羈押禁見2個月。柯文哲的律師原本有意提抗告尋求救濟，但柯文哲在庭前已表示不願讓法院為難，並且即使被羈押也不願抗告。律師經過再次確認後，尊重柯文哲的意願，決定不再提出抗告。
八卦 ( Gossiping ),[問卦] 馬記者：記者不受偵查不公開規範！,是這樣啦看了時下主流的APP Threads看到了馬記者的一番言論,PTT,2024-09-09,https://www.pttbrain.com/ptt/article/M.1725842190.A.290,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/f5090799-7043-44e3-bd9f-a1a6e4f7281e,https://d1pxdrw6gckt4w.cloudfront.net/network/bf640b3a-07ac-4a40-ab7a-275a782354b7,馬記者在時下主流的APP Threads上發表了一番言論，指出記者不受偵查不公開規範的限制。他強調，記者有權報導真相，不應被偵查不公開的規範所約束，這樣才能保障新聞自由與公眾知情權。馬記者的言論引發了廣泛討論，支持者認為這是捍衛新聞自由的重要表態，而反對者則擔心這可能會影響案件偵查的公正性，並對被報導者的隱私造成侵害。這一爭論反映了新聞自由與偵查保密之間的複雜平衡。
八卦 ( Gossiping ),[問卦] 北檢：今日已主動分他字案查自己有無不法,剛看新聞快訊說北檢表示今日已經自己主動分他字案來調查北檢自己相關人員有無涉及不法請外界勿無端揣測  給予檢察官純淨辦案空間自己查自己有無涉及違反偵查不公開等不法  有人會信真的有要查嗎XDD還是只是要你各位閉嘴而已  有沒有八卦(′・ω・`)--,PTT,2024-09-09,https://www.pttbrain.com/ptt/article/M.1725865739.A.93B,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/0ca2a33f-92c0-483f-9554-e322b4c05567,https://d1pxdrw6gckt4w.cloudfront.net/network/c8c9ed89-b2bf-48bc-92fa-cf88764592ca,北檢今日宣布已主動分他字案，調查北檢內部人員是否涉及不法行為，包括是否違反偵查不公開原則。北檢呼籲外界不要無端揣測，給予檢察官純淨的辦案空間。然而，此消息引發了不少質疑，有人懷疑此舉是否真有實際調查意圖，還是只是為了讓外界閉嘴。網友們對此事件展開討論，並期待進一步的八卦消息。
八卦 ( Gossiping ),[新聞] 蔣萬安說了！京華城容積變更符合程序　合,TVBS蔣萬安說了！京華城容積變更符合程序　合法與否「」 黃韋銓 報導發佈時間：2024/09/09 12:46最後更新時間：2024/09/09 12:46民眾黨主席柯文哲身陷京華城案，目前仍收押禁見，對於京華城容積案，民眾黨日前搬出台北市都發局背書，稱都委會今年1月曾表示，容積率變更合乎「合宜性、公益性、對價性、適法性」。對此，台北市長蔣萬安在訪美期間回應，是否合法，要尊重法院判決與認定。對於民眾黨說法，北市副市長李四川昨天出面表示，都發局新聞稿僅是針對「程序」部分進行說明，強調該案的相關公開展覽及都委會的流程，都有依照《都市計畫法》的規定辦理，但並未對該案的合法性進行背書。人在美國出訪的蔣萬安則在美東時間8日表示，都發局年初曾回應監察院的糾正案，當時檢視了京華城的審核過程符合都市計畫法程序，副市長李四川也有出面做出完整說明，公開展覽等相關程序是符合程序，但是否合法，要尊重法院認定與判決。蔣萬安重申，尊重司法調查、勿枉勿縱，若有違法當然追究責任，若無，當然要還人清白。備註--,PTT,2024-09-09,https://www.pttbrain.com/ptt/article/M.1725858933.A.E88,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/520b1be9-7173-4fb3-acc4-07826a01f869,https://d1pxdrw6gckt4w.cloudfront.net/network/e437bd5b-c8bd-458d-8e8a-a158889574bb,台北市長蔣萬安在美國出訪期間回應京華城容積變更案，強調是否合法需尊重法院判決與認定。民眾黨此前引用台北市都發局的背書，稱容積率變更合乎「合宜性、公益性、對價性、適法性」。對此，台北市副市長李四川表示，都發局的新聞稿僅針對程序部分進行說明，強調公開展覽及都委會流程均依《都市計畫法》辦理，但未對合法性背書。蔣萬安重申，尊重司法調查，若有違法將追究責任，若無則還人清白。
八卦 ( Gossiping ),[新聞] 誰把「沈慶京1500」餵給媒體？北檢否認,誰把「沈慶京1500」餵給媒體？北檢否認圖利 要查洩密聯合報房荷庭民眾黨主席柯文哲涉入京華城案遭羈押禁見，外界質疑，檢方違反偵查不公開，洩漏偵查內容給特定媒體。台北地檢署今回應，絕無洩漏任何偵查內容予特定媒體，亦無假藉媒體放話或圖利特定媒體，今天主動分他字案偵辦，調查他字案有無相關人員涉及不法，案由為洩密罪。鏡週刊上周五獨家報導，檢廉搜索柯文哲住家搜出一只隨身碟，其中記載「沈慶京1500」消息。對此，北檢回應「不予評論、無法證實」。外界質疑，檢廉偵辦柯文哲案以來，持續有特定媒體先掌握偵查內容，透過獨家報導方式引其他媒體查證，從廉政署兵分48路搜京華城、搜索柯文哲住家、柯文哲被爆有700萬不明資金、柯妻陳佩琪持現金去ATM存款、柯文哲與威京集團主席沈慶京有1500萬不明金流。北檢表示，針對近日有某平面媒體及某電子媒體對柯文哲涉犯貪汙治罪條例案件有關金流之報導內容，引起外界質疑本署有違反偵查不公開情事，北檢絕無洩漏任何偵查內容予特定媒體，亦無假藉媒體放話或圖利特定媒體之情事，今天分他字案偵辦，調查他字案有無相關人員涉及不法，案由為洩密罪，請外界勿無端揣測，給予檢察官純淨辦案空間。,PTT,2024-09-09,https://www.pttbrain.com/ptt/article/M.1725873799.A.465,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/a8739bdc-4473-43aa-95b6-cfb9d3bc8dac,https://d1pxdrw6gckt4w.cloudfront.net/network/c363bbeb-acb6-4904-9402-5be9e54086f7,台北地檢署針對柯文哲涉入京華城案遭質疑洩漏偵查內容予特定媒體作出回應，強調絕無洩漏任何偵查內容或圖利媒體，並主動分他字案偵辦洩密罪。事件源於鏡週刊報導檢廉在柯文哲住家搜出記載「沈慶京1500」的隨身碟，引發外界質疑檢廉偵辦過程中持續有特定媒體提前掌握偵查內容，並透過獨家報導方式引其他媒體查證。北檢重申無違反偵查不公開原則，呼籲外界勿無端揣測，給予檢察官純淨辦案空間。
八卦 ( Gossiping ),[新聞] 柯文哲行蹤遭破解！「小沈1500」不是時,"1.媒體來源:TVBS2.記者署名:作者 鏡週刊 責任編輯 陳子宣 報導3.完整新聞標題:柯文哲行蹤遭破解！「小沈1500」不是時間　當天拜會這群人4.完整新聞內文:民眾黨主席柯文哲涉京華城圖利案，檢方將他聲押禁見獲准，本刊6日獨家揭露，檢廉日前搜索柯住家時，搜出一只關鍵USB隨身碟，清楚記載「2022/11/1小沈1500沈慶京」，遭疑是收取威京集團主席沈慶京1,500萬元，成他遭羈押關鍵。不過，「1500沈慶京」代表什麼？有名嘴或網友認為也可能是兩人見面時間（指下午3點），但本刊進一步調查發現，柯2022年11月1日當天下午2點到5點，人都在大同區、中正區拜會當地里長，且時任北市民政局長藍世聰也陪同，根本沒多餘時間與沈慶京見面。本刊日前報導，專案小組搜索柯文哲住處時查扣一個隨身碟，其中清楚寫上「2022/11/1小沈1500沈慶京」，因時序與北市府2022年10月18日核發建照給予京華城樓地板總面積25萬4,527平方公尺相近，高院裁定書因此直指，柯身為台北市長，又受理京華城案陳情，而瓜田不納履，李下不整冠，竟會在自己隨身碟內如此記載，難認與本案毫無關連，高院此一論述，成柯遭羈押關鍵。新聞曝光後，「小沈1500沈慶京」引發熱議，有名嘴認為，「1500可能是下午3點見小沈」；但民進黨籍北市議員陳怡君認為，柯任台北市長自豪創了廉政制度，不論見財團或收禮都須登記，但此卻被政風處打臉，因為柯並沒有登記與威京小沈見面的任何紀錄。柯文哲2022年11月1日當天下午究竟人在哪？本刊以當天日期、柯文哲、民眾黨、柯P等關鍵字搜尋過往新聞，並交叉比對新聞畫面中的店家、建物特色查出，柯當天下午是在北市大同區的國慶區民活動中心與當地多名里長座談，此行程不但被2家電視台直擊而留下紀錄，柯當時還接受記者堵訪，回應本刊當天出刊的報導內容。回顧2022年11月1日一早，本刊刊出了柯接受本刊專訪對縣市長選情的解盤，他在專訪中指出，縣市長「坐一望二」，竹市領先，北市有機會一搏，但也坦言受政黨組織動員影響，「那個『坐』也坐不太穩」。到了下午，柯被2家電視台直擊現身在北市大同區的國慶區民活動中心，柯先是簡短回應本刊報導民眾黨選情「坐一望二」的議題後，才進入活動中心的會議室拜會當地里長並座談。根據當時新聞畫面，牆上時鐘顯示，柯到場的時間約是下午近2點，從桌上擺放的餐點數量可知，當天下午與會的人數超過10人，與會的包括藍世聰、身兼大同區里長聯誼會會長的蓬萊里里長何英輝等人，但未見沈慶京身影，這場行程約3點結束後，柯又繼續在大同區拜會其他里長。本刊進一步調查，柯離開國慶區民活動中心後，繼續在大同區拜會里長，並在下午3點30分前就抵達另一處地點，與會的除了藍世聰，還有大同區區長方越琦等人。之後約下午4點左右，柯又轉往中正區繼續拜會當地里長，直到約5點才結束行程，而當天下午無論在大同或中正區，都有不少里長與柯合影留下時間紀錄。換言之，柯2022年11月1日下午2至5點的行程都是在拜會里長，本刊依柯與里長合照、行程時間交叉查證後，合理推斷柯根本沒時間與沈慶京見面，再對比本刊日前報導專案小組所查扣隨身碟記載的「2022/11/1小沈1500沈慶京」，其中「1500」顯然不是與沈慶京見面的時間，至於柯當天其他時間有無與沈見面則不得而知。因柯相關電磁紀錄已遭專案小組查扣，他有無收取沈慶京1,500萬元，又這筆記帳內容是否與京華城涉貪案有關，仍待司法單位進一步釐清。5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:  把當天的行程查了一輪--",PTT,2024-09-09,https://www.pttbrain.com/ptt/article/M.1725877963.A.08A,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/988a0a5f-e44e-44d0-bd59-beae293862b4,https://d1pxdrw6gckt4w.cloudfront.net/network/e6419ab4-c327-4734-b9e6-b4b74b4358f9,"民眾黨主席柯文哲因涉京華城圖利案，被檢方聲押禁見。鏡週刊揭露，檢方在柯家中搜出一個USB隨身碟，記載「2022/11/1小沈1500沈慶京」，被懷疑是收受威京集團主席沈慶京1,500萬元賄賂的證據。有名嘴和網友認為「1500」可能是見面時間（下午3點），但進一步調查發現，柯當天下午2點至5點一直在北市大同區和中正區拜會里長，並無時間與沈見面。根據當天的新聞畫面和里長的合影，確認柯的行程和隨身碟上的「1500」無關。至於柯有無收受沈的1,500萬元賄賂，仍需司法單位進一步調查。"
八卦 ( Gossiping ),[新聞] 柯文哲請檢2個月內盡調查義務 法界錯愕：,1.媒體來源:聯合報2.記者署名:王宏舜3.完整新聞標題:柯文哲請檢2個月內盡調查義務 法界錯愕：無必要配合4.完整新聞內文:台北市前市長柯文哲涉京華城案，台北地方法院5日更裁羈押禁見，柯16日前可抗告，但律師團今發表聯合聲明，表明柯「不願提起抗告」，基於尊重當事人意願，因此「不再抗告」。聲明裡，柯請檢察官「於此2個月之羈押期間內」窮盡一切調查義務，法界人士指刑事訴訟法規定偵查中羈押可延長1次，檢察官無義務按照「祈使句」辦案。柯文哲遭羈押後，外界等待柯文哲抗告，但柯的律師團今天聲明不抗告後，連地院、高院都覺得詫異，不過律師團請檢察官2個月「窮盡一切調查義務」，柯將全力配合調查，法界人士疑惑「2個月內能偵結嗎？」刑事訴訟法第108條分別規定「羈押被告，偵查中不得逾2月，審判中不得逾3月。但有繼續羈押之必要者，得於期間未滿前，經法院依第101條或第101條之1之規定訊問被告後，以裁定延長之。在偵查中延長羈押期間，應由檢察官附具體理由，至遲於期間屆滿之5日前聲請法院裁定。」、「延長羈押期間，偵查中不得逾2月，以延長1次為限。」也就是偵查中最長羈押4個月，從5日起算，檢察官若聲請延長羈押，仍由當時裁定羈押的北院法官呂政燁審酌有無延押必要。若柯文哲延押後最終結果是遭起訴，北院屆時須開接押庭，由分到京華城案的法官裁量是否繼續羈押，如果羈押原因（湮滅、偽造、變造證據或勾串共犯或證人之虞；最輕本刑5年以上之罪，有逃亡可能）仍在，柯文哲何時能離開台北看守所，無人能預料。被告遭羈押，人身自由遭拘束在看守所狹窄的舍房又悶熱，一般而言多會抗告，柯文哲選擇不抗告，法界人士認為其他被告如應曉薇、彭振聲、沈慶京、吳順民抗告全遭駁回，柯文哲又被視為居「主導」角色，抗告成功機會渺茫，如果抗告被回，宛如又被法院「認證一次」。法界認為民眾黨正值危急存亡之秋，抗告失敗可能讓支持者渙散或反遭訕笑，柯乾脆選擇不抗告。5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:                                            ▁▁▁▁▁▁▁▁▁  ▕ 太陽系絕對防衛線 ▏  ▕     Gunbuster    ▏   ￣￣￣￣￣￣￣￣￣--,PTT,2024-09-09,https://www.pttbrain.com/ptt/article/M.1725881147.A.F0B,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/7f1b08ab-c1cb-4de0-b8b4-da6abb78b056,https://d1pxdrw6gckt4w.cloudfront.net/network/ee049ab6-a5fe-4511-b8ee-2c45454f0c53,台北市前市長柯文哲因涉京華城案被台北地方法院裁定羈押禁見，柯文哲在羈押期間選擇不提抗告，律師團也發表聲明表明尊重當事人意願，將全力配合檢察官在2個月內完成調查。法界人士對此表示錯愕，認為檢察官無義務按照「祈使句」辦案，且偵查中羈押最長可延長一次，共計4個月。法界人士認為柯選擇不抗告可能是因為抗告成功機會渺茫，且如果抗告失敗，可能對民眾黨的支持度造成不利影響。若羈押期間延長，最終仍需由法院裁定是否繼續羈押。
八卦 ( Gossiping ),[爆卦] 北檢新聞稿,北檢發新聞稿澄清,PTT,2024-09-09,https://www.pttbrain.com/ptt/article/M.1725873590.A.64A,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/f3c5dc3b-074e-4a33-85eb-8cd1383698de,https://d1pxdrw6gckt4w.cloudfront.net/network/90b473e1-5544-4ae5-a330-1f70860b163d,北檢發佈新聞稿，對外澄清相關事件。
股票 ( Stock ),[閒聊] 2024/09/09 盤中閒聊,"=============113/09/09台股資訊重點整理，供股民做投資參考============台股  21435.19▲247.48(+1.17%)成交量2682.49億台指0921319   ▲136   (+0.64%)成交量 91,821口盤後09成交量139,418口台指期未平倉口數自營商()投信+23,141(  +661)外資()台指選未平倉口數自營商+27,200( +1,986)投信(     0)外資(   +286)----------------------------------------道瓊工業40345.41那斯達克16690.83標普500  5408.42費城半導 4528.21----------------------------------------火樹銀花合，星橋鐵鎖開。--",PTT,2024-09-09,https://www.pttbrain.com/ptt/article/M.1725841802.A.759,https://d1pxdrw6gckt4w.cloudfront.net/wordcloud/a1c2f9a4-ea93-4666-9c98-b30d04efce16,https://d1pxdrw6gckt4w.cloudfront.net/network/d45b83c2-d3d6-4a3e-ba56-b99630a78283,2024年9月9日，台股指數收盤21435.19點，上漲247.48點（+1.17%），成交量達2682.49億元。台指期指數收盤9213.19點，上漲136點（+0.64%），成交量91821口，盤後成交量139418口。台指期未平倉口數中，自營商增加了661口，投信增加了23141口，而外資增加了286口。道瓊工業指數報40345.41點，那斯達克指數報16690.83點，標普500指數報5408.42點，費城半導體指數報4528.21點。此資訊供股民作為投資參考。
